Site,longitude,latitude,B data max,B 100-year,E data max,E 100-year
CON25,-104.144403,40.884869,1089.0416505287415,1049.8198874468326,0.22166938192299024,0.19220112994316163
CON26,-103.341413,40.874531,1086.7557794321933,1045.6192234676682,0.23521089834709666,0.23195273471692926
CON27,-102.550419,40.979468,1086.317834202691,1068.4836726407518,0.22295698514567389,0.26005496105796067
COO20,-108.331081,40.269297,967.7344518994064,1027.3377158050876,0.2681434306485036,0.21506747586995173
COO21,-107.442303,40.255679,998.4342319691154,1036.6815038488007,0.8916347931204217,0.6337739782349834
COO22,-106.759802,40.178376,1015.1210260610642,1036.554879262552,0.702246373251885,0.5524835111433108
COO24,-105.237044,40.311759,1076.3942726426924,1072.7833383908846,0.5168063950546081,0.3830506758818003
COO25,-104.280809,40.450566,1069.2370584797288,1028.6159291810636,0.3215104385514781,0.25294260727352164
COO26,-103.369154,40.272254,1051.5212012767936,1020.6344779820907,0.23540561868056453,0.2148489144083502
COO27,-102.736524,40.402802,1053.025788347994,1036.5307358801028,0.2820117495035186,0.26931675303423386
COP21,-107.611321,39.616141,931.5314155224191,977.4407388267934,0.23275761625243493,0.1825620685771682
COP22,-106.889044,39.720148,967.421472915579,1005.8806435883622,0.41455345874889254,0.2888888898298668
COP24,-105.210201,39.606023,1023.1599891654042,1024.687271126416,6.004800311196872,4.608723408251803
COP25,-104.377701,39.808847,1039.6544474729287,1040.9547160067139,0.18716170752329672,0.15624282253616556
COP26,-103.653028,39.709203,1007.5566871364261,1004.1453684880403,0.1994312778758741,0.180310483684128
COP27,-102.594686,39.757835,999.0210250779994,1004.0465510413933,0.3150418287042028,0.28090130077463416
COQ20,-108.345103,39.011409,825.6561060532108,912.8656475464542,0.20867449920940037,0.1873294793348655
COQ21,-107.653123,38.887571,829.7097139215848,916.2676010930949,0.0995690755036704,0.07955778440281029
COQ23,-106.001988,38.955993,881.9701834021803,939.9083556526015,0.34771344291394607,0.22337446123872623
COQ24,-105.219969,39.011182,929.4636328762834,976.9496421770396,0.5497286777480082,0.4172289831879683
COQ25,-104.348289,39.129911,969.7173155165317,1012.5679336155207,0.1298609730193433,0.10453780260281365
COQ27,-102.819837,39.141653,933.5406987169773,962.1986198626252,0.4730631093972978,0.3606106826121195
